id,type,floor,status,installed,desc,location/0,location/1,addedBy
A81758FFFE046583,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,L7,65.05990,25.46602,jeremias
A81758FFFE031080,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,FY260,65.05897,25.46461,jeremias
A81758FFFE04657A,Elsys ERS Sound,-1,installed,2020-06-06T00:00:00.000Z,Above food lines,65.05938,25.46628,jeremias
A81758FFFE046581,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,In the middle of the Cafe hub roof,65.05935,25.46646,jeremias
A81758FFFE03100B,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Above board games corner,65.05841,25.46594,jeremias
A81758FFFE03103C,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,"10m north from ""START HERE"" signs",65.06060,25.46670,jeremias
A81758FFFE0464FA,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Kylymä backwall of elevator,65.05796,25.46879,jeremias
A81758FFFE0464BB,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Next to cash register on the roof,65.05973,25.46487,jeremias
A81758FFFE031063,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,Opposite to double elevator,65.05798,25.46891,jeremias
A81758FFFE03108B,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,L10,65.05804,25.46674,jeremias
A81758FFFE046507,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 2 slot 6,65.05868,25.46649,jeremias
A81758FFFE031013,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus Aspire,65.05855,25.46634,jeremias
A81758FFFE046431,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus Chill,65.05855,25.46607,jeremias
A81758FFFE04650A,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 10 slot 3,65.05875,25.46614,jeremias
A81758FFFE031081,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 13 slot 2,65.05877,25.46598,jeremias
A81758FFFE046505,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 19 slot 12,65.05856,25.46567,jeremias
A81758FFFE031085,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 25 slot 10,65.05860,25.46540,jeremias
A81758FFFE0463B8,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 28 slot 7,65.05866,25.46523,jeremias
A81758FFFE046503,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 21 slot 3,65.05874,25.46559,jeremias
A81758FFFE030FE1,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus Horizon,65.05882,25.46540,jeremias
A81758FFFE031017,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus rail 24 slot 3,65.05875,25.46542,jeremias
